job_title,company_name,position_type,job_location,skills,experience
Azure Data Engineer,Capgemini Technology Services India Limited,Full time,"Kolkata, Noida","Azure Data Engineer,Azure SQL Database,Azure SQL Warehouse,Azure Data Bricks",5-12 Years
Azure Data Engineer,Capgemini Technology Services India Limited,Full time,"Bengaluru / Bangalore, Mumbai","Azure Data Engineer,Azure SQL Database,Azure SQL Warehouse,Azure Data Bricks",5-12 Years
Data Engineer,LTIMindtree Limited,Full time,"Mumbai, Pune","snowflake,Sql,AWS,Java",3-12 Years
Urgent requirement DATA ENGINEER Matillion PAN INDIA Full Time,Company name confidential,"Jobs for Women, Full time","Bengaluru / Bangalore, Chennai","Matillion,Data Engineer",3-5 Years
Sr Data Engineer/Business Analyst,Capgemini Technology Services India Limited,Full time,"Hyderabad / Secunderabad, Telangana","""data engineer"",""Devops""",5-9 Years
Data Engineer- GCP,Alphacom Systems and Solutions Priavte Limited,Full time,"Bengaluru / Bangalore, Pune","airflow,Pubsub,Data Engineer,Big Data,Gcp,Pyspark,DataFlow",7-12 Years
Azure data engineer,Intuitive Apps India Private Limited,Full time,Gurgaon / Gurugram,"Azure,Pyspark,Data Engineer,Pyspark,Sql,databricks",5-13 Years
GCP Data Engineer,HNM Solutions,Full time,Chennai,"Gcp,Java,Python",4-5 Years
Data Engineer/ Modeller,Redberyl Tech Solutions Private Limited,Full time,"Mumbai, Pune","Security,Java,Hibernate,Scala,Data Structures,Big Data,Spring Boot",5-15 Years
Data Engineer with AWS,Capgemini Technology Services India Limited,Full time,"Hyderabad / Secunderabad, Telangana","""AWS"",""Data engineer""",5-9 Years
Big Data Engineer,Wintech Services ( India) Private Limited,"Walkin Job, Full time",Bengaluru / Bangalore,"Airflow,Bigdata,AWS,Sql,Pyspark,Spark,Python,Hive",5-10 Years
AWS data Engineer,Changeleaders Consulting Private Limited,Full time,"Bengaluru / Bangalore, Pune","glue,aws,Pyspark,Python",4-10 Years
Azure Data engineer,Wintech Services ( India) Private Limited,Full time,Bangaon,"Azure Data Lake,Sql,Data Warehousing,Data Factory",6-10 Years
Sr. Cloud Data Engineer,Novature Tech Private Limited,"Contract Job, Part time",Chennai,"Cloud Engineer,Agile,RDBMS,Nosql,Etl,Dataware Housing,Bi Tools",7-12 Years
